id,message
1,"Hi, where is my shipment #12345?"
2,"The package I received was damaged and items are missing."
3,"I haven't received payment for my last route, please check."
4,"What is the current status of order ABC-5?"
5,"I need the invoice for last month's services."
6,"The driver missed the delivery window, it's marked as failed."
7,"Just wanted to confirm the status of my shipment."
8,"When will my invoice for this week be processed?"
9,"The package was delivered to the wrong address."
10,"I received my payment, thank you so much!"
11,"Has my order 987 left for delivery yet?"
12,"The box for my delivery was completely wet."
13,"Please, can you send me a copy of my last invoice?"
14,"My shipment tracking hasn't updated since yesterday."
15,"Everything arrived perfectly, great service."